@relation opDCT_4

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 {Benign,Malignant}

@data
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,Benign
255,255,44,255,255,255,80,144,2,194,255,114,106,165,123,86,255,255,255,255,255,255,217,255,255,255,255,62,25,255,255,255,255,255,255,255,255,255,193,255,255,255,255,184,205,255,255,255,Benign
255,74,255,255,255,255,255,255,255,255,255,255,255,255,255,11,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,85,255,255,255,255,255,255,255,55,255,255,255,255,255,255,255,255,Benign
255,29,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,107,255,255,54,255,255,218,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,40,255,255,255,255,Benign
255,255,255,28,255,255,49,255,255,67,255,30,20,255,48,255,255,255,255,255,255,255,3,255,255,51,255,65,35,255,46,255,255,255,255,255,255,255,34,255,255,251,255,251,127,255,72,255,Benign
255,255,255,255,255,255,71,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,Benign
255,87,255,29,123,255,13,255,255,255,255,123,248,61,3,8,255,196,255,57,255,255,128,255,255,255,255,255,255,14,40,39,255,255,255,84,255,255,164,255,255,255,255,255,255,158,255,10,Benign
255,255,255,255,255,255,255,255,255,255,255,255,151,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,133,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,68,255,Benign
255,255,255,255,255,255,15,31,255,255,255,255,255,255,255,183,255,203,255,255,255,255,255,36,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,133,255,255,255,255,255,255,255,255,Benign
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,13,255,218,138,255,255,255,255,255,255,255,255,207,255,255,255,255,255,255,244,255,Benign
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,197,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,Benign
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,198,Benign
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,18,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,Benign
255,255,255,87,255,255,255,255,255,255,255,64,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,168,255,255,255,255,255,255,255,255,255,255,255,255,255,255,Benign
255,255,255,255,255,255,255,169,255,255,255,255,255,88,255,206,255,255,255,255,255,255,255,121,255,255,255,255,255,89,255,133,255,255,255,255,255,255,255,16,255,255,255,255,255,255,255,24,Benign
255,255,255,255,255,100,255,255,255,99,255,154,255,246,255,255,255,255,255,255,30,42,255,255,255,3,255,64,255,255,255,255,255,255,255,255,255,255,255,255,255,145,255,255,255,255,255,255,Benign
255,255,255,255,255,255,255,255,255,255,255,255,255,120,125,72,255,255,255,255,255,255,255,255,255,255,255,255,255,88,136,255,255,255,255,255,255,255,255,255,255,255,255,255,255,182,97,255,Benign
255,255,255,255,255,255,255,255,255,255,255,135,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,217,255,255,255,255,255,255,255,255,Benign
255,255,255,29,249,93,248,49,255,95,255,76,255,192,255,224,255,255,255,213,255,16,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,102,255,255,74,255,255,255,255,255,255,255,Benign
255,255,255,105,255,252,53,54,255,175,255,42,255,64,255,29,255,255,255,255,255,65,23,176,255,255,255,255,255,90,255,255,255,255,255,213,255,142,40,30,255,255,255,220,255,86,255,181,Benign
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,44,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,Benign
255,255,255,255,255,255,255,255,255,255,255,255,255,255,59,255,255,255,166,255,255,255,255,255,189,255,255,59,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,93,255,255,90,255,Benign
255,164,255,255,255,189,255,205,255,223,255,255,255,179,255,255,255,222,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,227,255,255,255,255,255,255,255,255,255,255,255,255,255,255,Benign
255,255,255,255,255,255,255,72,255,255,255,255,255,255,250,255,255,255,255,255,255,255,38,255,255,255,255,255,255,255,121,255,255,255,255,255,255,255,255,255,255,255,41,255,255,255,255,255,Benign
255,255,255,255,255,255,244,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,Benign
255,255,255,255,255,255,255,220,255,255,255,164,255,79,255,255,255,255,255,255,255,255,255,9,255,255,255,255,255,152,255,255,255,255,255,255,255,255,255,59,255,255,255,198,255,255,255,255,Benign
255,255,255,255,218,255,255,118,255,135,255,255,202,44,255,255,255,255,63,186,255,255,255,63,255,255,255,255,255,97,255,255,255,255,255,248,255,255,184,59,100,255,255,255,255,60,255,255,Benign
255,14,255,199,255,255,255,255,255,255,255,255,255,170,255,255,255,255,255,255,255,101,255,255,215,116,255,174,255,44,255,134,255,255,255,255,255,73,255,255,255,76,255,255,255,127,255,255,Benign
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,153,255,255,255,90,255,255,255,255,245,255,255,255,42,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,Benign
255,255,255,255,255,150,255,12,255,255,255,43,255,59,255,83,255,255,255,255,255,177,255,43,255,255,170,80,255,34,255,75,255,255,255,178,255,255,165,40,255,255,255,153,255,97,255,106,Benign
255,255,255,255,255,255,255,255,121,255,255,255,255,255,255,235,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,Benign
255,255,255,255,255,255,255,255,100,255,255,255,255,131,255,255,255,255,255,255,255,65,255,30,1,255,255,255,255,236,255,86,255,255,255,255,255,255,255,255,255,255,255,35,255,255,255,153,Benign
255,255,255,255,255,255,255,255,255,255,255,255,255,255,240,255,255,255,56,206,255,255,255,218,255,162,255,40,255,255,215,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,133,255,Benign
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,50,255,8,255,255,255,87,66,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,Benign
255,255,255,57,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,157,255,255,255,255,255,255,Benign
